timestamp_ms,update_count,mid_price,best_bid,best_ask,spread,latency_ns,num_updates,imbalance,buy_aggression,sell_aggression,aggression_ratio,nearest_ask_wall_price,nearest_ask_wall_qty,nearest_bid_wall_price,nearest_bid_wall_qty,wall_event
1772057223072,1,69006.77,69006.77,69006.78,0.01,568167,323,0.6553,0.0000,0.0000,0.5000,69137.59,7.25,0.00,0.00,[WALL APPEARED] ASK $69137.590  7.24 BTC
1772057224073,2,69006.77,69006.77,69006.78,0.01,246516,481,0.7423,12.8253,2.9717,0.8119,69147.33,7.24,68876.35,7.24,[WALL APPEARED] ASK $69147.330  7.24 BTC
1772057225068,3,69011.99,69011.99,69012.00,0.01,405813,493,0.7664,36.5637,7.3375,0.8329,69150.48,7.24,68876.35,7.24,[WALL APPEARED] ASK $69150.480  7.24 BTC
1772057226074,4,69011.99,69011.99,69012.00,0.01,140004,107,0.8569,41.9424,9.7180,0.8119,69150.48,7.24,68876.35,7.24,[WALL APPEARED] ASK $69150.480  7.24 BTC
1772057227079,5,69009.73,69009.72,69009.73,0.01,367127,511,0.2309,63.4291,44.5396,0.5875,69150.48,7.24,68876.35,7.24,[WALL APPEARED] BID $66000.000  9.70 BTC
1772057228062,6,69009.73,69009.72,69009.73,0.01,172021,129,0.1408,65.7397,52.9635,0.5538,69150.48,7.24,68876.35,7.24,[WALL APPEARED] BID $60000.000  641. BTC
1772057229071,7,69009.73,69009.72,69009.73,0.01,156045,91,0.0076,66.6229,56.9471,0.5392,69150.48,7.24,68876.35,7.24,[WALL APPEARED] BID $60000.000  641. BTC
1772057230072,8,69009.73,69009.72,69009.73,0.01,80303,93,0.1288,78.3339,57.9701,0.5747,69150.48,7.24,68876.35,7.24,[WALL APPEARED] BID $60000.000  641. BTC
1772057231067,9,69009.73,69009.72,69009.73,0.01,39643,88,0.0903,81.3236,58.6203,0.5811,69150.48,7.24,68876.35,7.24,[WALL APPEARED] BID $60000.000  641. BTC
1772057232074,10,69009.73,69009.72,69009.73,0.01,80136,79,0.0869,84.7822,67.0909,0.5582,69150.48,7.24,68876.35,7.24,[WALL APPEARED] BID $60000.000  641. BTC
1772057233076,11,69009.73,69009.72,69009.73,0.01,109195,61,0.0838,93.9578,67.8012,0.5809,69150.48,7.24,68876.35,7.24,[WALL APPEARED] BID $60000.000  641. BTC
1772057234080,12,69007.95,69007.94,69007.95,0.01,332068,379,0.0013,115.4046,100.0768,0.5356,69009.72,6.13,68865.68,7.24,[WALL APPEARED] ASK $72500.000  14.9 BTC
1772057235067,13,69007.95,69007.94,69007.95,0.01,117154,232,0.0926,144.1754,107.2164,0.5735,69136.14,7.24,68865.68,7.24,[WALL GONE !!!] ASK $69009.720  was 6.13 BTC << SPOOF?
1772057236064,14,69007.95,69007.94,69007.95,0.01,33476,130,0.0020,147.0639,117.6473,0.5556,69136.14,7.24,68865.68,7.24,[WALL GONE !!!] ASK $69009.720  was 6.13 BTC << SPOOF?
1772057237073,15,68995.23,68995.22,68995.23,0.01,548857,944,0.0006,168.9912,149.1856,0.5311,69007.01,6.13,68862.97,7.25,[WALL APPEARED] ASK $69007.010  6.12 BTC
1772057238080,16,68977.99,68977.98,68977.99,0.01,768064,1418,0.0055,203.1002,182.4271,0.5268,69007.01,6.13,68845.83,7.25,[WALL GONE !!!] ASK $69136.140  was 7.24 BTC << SPOOF?
1772057239081,17,68970.01,68970.00,68970.01,0.01,458638,753,0.0111,226.7793,202.6524,0.5281,69007.01,6.13,0.00,0.00,[WALL GONE !!!] ASK $69116.560  was 7.24 BTC << SPOOF?
1772057240066,18,68970.01,68970.00,68970.01,0.01,201148,279,0.0088,231.0734,210.5203,0.5233,69007.01,6.13,68797.44,7.27,[WALL APPEARED] BID $68797.440  7.26 BTC
1772057241080,19,68970.01,68970.00,68970.01,0.01,351711,539,0.1501,284.1989,223.0442,0.5603,69007.01,6.13,68830.34,7.25,[WALL APPEARED] ASK $69100.700  7.24 BTC
1772057242065,20,68970.01,68970.00,68970.01,0.01,156297,92,0.1519,284.2292,225.8423,0.5572,69007.01,6.13,68830.34,7.25,[WALL APPEARED] ASK $69100.700  7.24 BTC
1772057243064,21,68970.01,68970.00,68970.01,0.01,145880,82,0.2261,286.2088,226.5723,0.5582,69007.01,6.13,68830.34,7.25,[WALL APPEARED] ASK $70000.000  122. BTC
1772057244062,22,68970.01,68970.00,68970.01,0.01,24142,64,0.2208,286.2088,226.7432,0.5580,69007.01,6.13,68830.34,7.25,[WALL APPEARED] ASK $70000.000  122. BTC
1772057245070,23,68970.01,68970.00,68970.01,0.01,56618,75,0.2166,288.4344,228.0833,0.5584,69007.01,6.13,68830.34,7.25,[WALL APPEARED] ASK $70000.000  122. BTC
1772057246068,24,68970.01,68970.00,68970.01,0.01,172380,64,0.2171,290.0166,228.2224,0.5596,69007.01,6.13,68830.34,7.25,[WALL APPEARED] ASK $69142.120  6.62 BTC
1772057247062,25,68970.01,68970.00,68970.01,0.01,80410,38,0.2183,290.9068,228.2356,0.5604,69007.01,6.13,68830.34,7.25,[WALL APPEARED] ASK $73000.000  35.9 BTC
1772057248065,26,68970.01,68970.00,68970.01,0.01,387313,105,0.2090,291.0380,228.3283,0.5604,69007.01,6.13,68830.34,7.25,[WALL APPEARED] ASK $72000.000  64.8 BTC
1772057249062,27,68970.01,68970.00,68970.01,0.01,56160,30,0.2089,292.2950,229.0414,0.5607,69007.01,6.13,68830.34,7.25,[WALL APPEARED] ASK $72000.000  64.8 BTC
1772057250095,28,68953.08,68953.08,68953.09,0.01,717196,1411,0.3426,323.3961,270.3834,0.5446,69007.01,6.13,68797.44,7.27,[WALL GONE !!!] BID $68830.340  was 7.24 BTC << SPOOF?
1772057251084,29,68953.08,68953.08,68953.09,0.01,317133,255,0.3102,324.8270,272.7715,0.5436,69007.01,6.13,68830.40,7.25,[WALL APPEARED] BID $68830.400  7.25 BTC
1772057252078,30,68943.43,68943.42,68943.43,0.01,345336,1013,0.2407,360.1500,313.3844,0.5347,69007.01,6.13,68807.92,7.25,[WALL GONE !!!] ASK $69100.700  was 7.24 BTC << SPOOF?
1772057253072,31,68943.43,68943.42,68943.43,0.01,244932,307,0.0623,373.4940,328.2115,0.5323,69007.01,6.13,68807.92,7.25,[WALL GONE !!!] ASK $69100.700  was 7.24 BTC << SPOOF?
1772057254077,32,68943.43,68943.42,68943.43,0.01,419788,270,0.7788,441.7873,341.4469,0.5641,69007.01,6.13,68807.92,7.25,[WALL GONE !!!] ASK $69142.120  was 6.62 BTC << SPOOF?
1772057255066,33,68943.43,68943.42,68943.43,0.01,128070,169,0.6101,453.2469,344.6772,0.5680,69007.01,6.13,68807.92,7.25,[WALL APPEARED] ASK $69114.200  6.57 BTC
1772057256085,34,68965.76,68965.75,68965.76,0.01,782165,1435,0.9993,573.0064,395.2936,0.5918,69076.46,7.24,68941.31,6.13,[WALL GONE !!!] ASK $69079.270  was 7.25 BTC << SPOOF?
1772057257081,35,68965.76,68965.75,68965.76,0.01,463138,330,0.7789,586.0145,410.1632,0.5883,69076.46,7.24,68941.31,6.13,[WALL GONE !!!] ASK $69079.270  was 7.25 BTC << SPOOF?
1772057258063,36,68965.76,68965.75,68965.76,0.01,155463,81,0.7827,586.8365,410.9021,0.5882,69076.46,7.24,68941.31,6.13,[WALL GONE !!!] ASK $69079.270  was 7.25 BTC << SPOOF?
1772057259068,37,68966.89,68966.89,68966.90,0.01,318985,218,0.6901,606.4957,426.3815,0.5872,69076.46,7.24,68941.31,6.13,[WALL GONE !!!] ASK $69079.270  was 7.25 BTC << SPOOF?
1772057260070,38,68966.89,68966.89,68966.90,0.01,45160,74,0.6984,606.6127,426.5747,0.5871,69076.46,7.24,68941.31,6.13,[WALL GONE !!!] ASK $69079.270  was 7.25 BTC << SPOOF?
1772057261069,39,68966.89,68966.89,68966.90,0.01,173523,59,0.6972,613.4375,433.1679,0.5861,69076.46,7.24,68941.31,6.13,[WALL APPEARED] ASK $69145.080  6.51 BTC
1772057262075,40,68978.29,68978.29,68978.30,0.01,617785,916,0.7079,666.0395,464.6858,0.5890,69076.46,7.24,68941.31,6.13,[WALL APPEARED] ASK $69127.100  7.24 BTC
1772057263070,41,68978.29,68978.29,68978.30,0.01,367753,273,0.5103,675.9439,475.4115,0.5871,69076.46,7.24,68941.31,6.13,[WALL APPEARED] ASK $69127.100  7.24 BTC
1772057264070,42,68978.29,68978.29,68978.30,0.01,69803,106,0.6462,678.3004,478.3638,0.5864,69076.46,7.24,68941.31,6.13,[WALL APPEARED] ASK $69127.100  7.24 BTC
